Gene_acc,Gene_id,PG.ProteinAccessions,H4ALL.1,H4ALL.2,H4ALL.3,KO1.1,KO1.2,KO1.3,Desc
0,GFP.BLA,GFP.BLA,17.632471540142767,17.600896091788094,17.590652033356427,16.900121278554224,17.109658677564685,17.28028482791029,GFP.BLA
1,Tb05.5K5.100,Tb05.5K5.100:mRNA-p1;Tb927.5.4450:mRNA-p1,16.20824835181549,16.03769155483361,16.097815785382405,15.525380296393886,16.47113177477272,16.0299010385589,"hypothetical protein, conserved"
2,Tb05.5K5.110,Tb05.5K5.110:mRNA-p1;Tb927.5.4460:mRNA-p1,19.75695958913398,19.667512337552196,19.51734163691035,19.799976605271638,19.522727703724676,19.597100168068774,"major vault protein, putative"
3,Tb05.5K5.120,Tb05.5K5.120:mRNA-p1;Tb927.5.4470:mRNA-p1,16.63543582929708,17.92058274364784,16.687523591364556,16.35455017754094,16.523563152457566,17.744272864562422,"hypothetical protein, conserved"
4,Tb05.5K5.130,Tb05.5K5.130:mRNA-p1;Tb927.5.4480:mRNA-p1,19.659437085931014,19.594366409564962,19.694836398312905,19.84160503965775,20.006674832233564,19.61300063014518,"paraflagellar rod component par4, putative"
5,Tb05.5K5.150,Tb05.5K5.150:mRNA-p1;Tb927.5.4500:mRNA-p1,20.92734765735896,20.937586286348946,20.906585489056646,21.45218442144901,21.091945547671443,20.799740700071705,"ras-like small GTPase, putative"
6,Tb05.5K5.160,Tb05.5K5.160:mRNA-p1;Tb927.5.4520:mRNA-p1,15.7058949469913,15.910247274491914,16.122737488682397,15.73486536189163,15.556975137939606,15.762884124039251,Kinetochore interacting protein 1
8,Tb05.5K5.20,Tb05.5K5.20:mRNA-p1;Tb927.5.4360:mRNA-p1,15.66965607175973,15.728894961964942,15.509556480635196,16.068989955484206,15.522174660442651,15.567667634170041,"hypothetical protein, conserved"
9,Tb05.5K5.200,Tb05.5K5.200:mRNA-p1;Tb11.v5.0409.1-p1;Tb927.5.4560:mRNA-p1,20.386920516634397,20.282722517489255,20.318512469327633,20.134290940877644,22.553720451224308,20.230472591290358,"guanine deaminase, putative"
10,Tb05.5K5.210,Tb05.5K5.210:mRNA-p1,18.47153990081711,18.43039371943837,18.352699479238886,18.005326604327376,18.868010995180015,18.412026167151115,hypothetical protein
11,Tb05.5K5.220,Tb05.5K5.220:mRNA-p1;Tb927.5.4580:mRNA-p1,17.34150307842931,17.611097311463837,16.822071198185263,16.932484029487938,17.29260304467627,17.293607759490936,Flagellum adhesion protein 3
12,Tb05.5K5.240,Tb05.5K5.240:mRNA-p1;Tb11.v5.0367.1-p1;Tb927.5.4600:mRNA-p1,17.36448469509983,17.13976725863084,17.185914684531067,17.689905116122457,17.88242196184193,17.301812795836735,"expression site-associated gene 3 (ESAG3) protein, putative"
13,Tb05.5K5.30,Tb05.5K5.30:mRNA-p1;Tb927.5.4380:mRNA-p1,19.816350893439786,19.54614285262236,19.883116174750132,19.61453518340606,20.023248772521004,19.803095755956825,Kinetoplastid-specific Protein Phosphatase 1
14,Tb05.5K5.50,Tb05.5K5.50:mRNA-p1;Tb927.5.4400:mRNA-p1,17.545139825091816,17.776763427210362,17.760058900516473,18.384870024404904,17.84847394576961,17.37598465324037,"hypothetical protein, conserved"
15,Tb05.5K5.60,Tb05.5K5.60:mRNA-p1;Tb927.5.4410:mRNA-p1,17.278283264111433,17.218774286983795,17.172674560688506,17.069021761812355,17.460493642651052,16.902791315000016,"hypothetical protein, conserved"
16,Tb05.5K5.70,Tb05.5K5.70:mRNA-p1;Tb927.5.4420:mRNA-p1,20.94180917611748,20.936965951948835,20.860603563405203,20.90399802234039,21.09084155794734,20.637213009618,"nucleolar RNA helicase II, putative"
17,Tb05.5K5.80,Tb05.5K5.80:mRNA-p1;Tb927.5.4430:mRNA-p1,16.939516713554852,16.901852117682648,16.904875570323025,16.685269581539572,15.649281288907547,16.83972135551602,"calcium/calmodulin-dependent protein kinase, putative"
18,Tb05.5K5.90,Tb05.5K5.90:mRNA-p1;Tb927.5.4440:mRNA-p1,16.978018069803202,17.055256614596647,17.152452431327976,17.14874948843725,16.63840928729149,16.955974335975935,"dynein light chain, putative"
20,Tb06.3A7.960,Tb06.3A7.960:mRNA-p1,18.53475264751695,18.488866773682396,18.511621288851657,17.57807733958604,19.39221573650033,18.371515180019,hypothetical protein
21,Tb07.11L3.100,Tb07.11L3.100:mRNA-p1;Tb927.7.2150:mRNA-p1,15.36332910664771,14.843571567164009,15.357385280875647,15.210061739845212,15.156913225712179,15.363231640482839,SUMO-interacting motif-containing protein
22,Tb07.11L3.90,Tb07.11L3.90:mRNA-p1;Tb927.7.2140:mRNA-p1,17.759985781959305,17.654029129030974,17.67489718351279,17.689889124365873,17.997114945949416,17.748448596318678,"zinc finger protein family member, putative"
23,Tb08.27P2.110,Tb08.27P2.110:mRNA-p1;Tb927.8.480:mRNA-p1,16.920023951601006,16.87366573529134,16.90700460413567,15.791000484311079,15.271830732267283,15.885883455062702,"phosphatidic acid phosphatase protein, putative"
26,Tb09.v4.0013,Tb09.v4.0013:mRNA-p1,18.60803006931059,20.101061659404955,19.669402404590638,20.03349509066247,18.464097366074657,18.982881500192,"retrotransposon hot spot (RHS) protein, putative"
27,Tb09.v4.0014,Tb09.v4.0014:mRNA-p1;Tb09.v4.0110:mRNA-p1;Tb927.9.15850:mRNA-p1,16.099777346259923,16.215640676249144,15.984300583562304,15.842764948617111,16.668688739982723,15.866025342665322,hypothetical protein
28,Tb09.v4.0015,Tb09.v4.0015:mRNA-p1,15.329257644122938,14.680354801476541,14.906046946064897,15.613075968568097,-inf,15.405022492910467,hypothetical protein
29,Tb09.v4.0016,Tb09.v4.0016:mRNA-p1;Tb11.v5.0463.1-p1,17.28506279984057,17.460761713251234,17.472961981385307,17.80212524089284,16.92727006407297,17.20221860330507,"expression site-associated gene (ESAG) protein, putative"
34,Tb09.v4.0119,Tb09.v4.0119:pseudogenic_transcript-p1,9.710150284395299,9.01565852338289,10.529489534378998,11.474458542090142,-inf,11.269615252362113,"variant surface glycoprotein (VSG, pseudogene), putative"
