Gene_acc,Gene_id,logFC,log_AveExpr,FDR,Desc
0,GFP.BLA,0.48270589514968165,16.956732345984378,0.6229189942635406,GFP.BLA
1,Tb05.5K5.100:mRNA-p1;Tb927.5.4450:mRNA-p1,0.3018469564869477,15.925680551815272,1.0570553297674896,"hypothetical protein, conserved"
2,Tb05.5K5.110:mRNA-p1;Tb927.5.4460:mRNA-p1,-0.08636480551852799,19.5432632904078,0.12960804436779827,"major vault protein, putative"
3,Tb05.5K5.120:mRNA-p1;Tb927.5.4470:mRNA-p1,-0.003328406329014655,16.994244643665485,0.000497754835240052,"hypothetical protein, conserved"
4,Tb05.5K5.130:mRNA-p1;Tb927.5.4480:mRNA-p1,-0.1128538103456691,19.746103121036814,0.20544660795074993,"paraflagellar rod component par4, putative"
5,Tb05.5K5.150:mRNA-p1;Tb927.5.4500:mRNA-p1,-0.23722035655266893,20.84269228543181,0.3440298080500835,"ras-like small GTPase, putative"
6,Tb05.5K5.160:mRNA-p1;Tb927.5.4520:mRNA-p1,0.1289875537092655,15.996876298118977,0.058316086346580594,Kinetochore interacting protein 1
8,Tb05.5K5.20:mRNA-p1;Tb927.5.4360:mRNA-p1,-0.21739056342099694,15.834839116183952,0.24708439393134637,"hypothetical protein, conserved"
9,Tb05.5K5.200:mRNA-p1;Tb11.v5.0409.1-p1;Tb927.5.4560:mRNA-p1,0.11190579501927189,20.353210334898172,0.2634849594933894,"guanine deaminase, putative"
10,Tb05.5K5.210:mRNA-p1,0.17443704071171595,18.448833651656386,0.3613812979653936,hypothetical protein
11,Tb05.5K5.220:mRNA-p1;Tb927.5.4580:mRNA-p1,0.11008036148953693,17.272635487546836,0.07321271392758076,Flagellum adhesion protein 3
12,Tb05.5K5.240:mRNA-p1;Tb11.v5.0367.1-p1;Tb927.5.4600:mRNA-p1,-0.30090101660617563,16.93775992787806,0.332451929990382,"expression site-associated gene 3 (ESAG3) protein, putative"
13,Tb05.5K5.30:mRNA-p1;Tb927.5.4380:mRNA-p1,0.0046235638754872355,19.747447146955846,0.006088538705838251,Kinetoplastid-specific Protein Phosphatase 1
14,Tb05.5K5.50:mRNA-p1;Tb927.5.4400:mRNA-p1,-0.2215375612635775,17.756915039003175,0.1614961626215266,"hypothetical protein, conserved"
15,Tb05.5K5.60:mRNA-p1;Tb927.5.4410:mRNA-p1,0.2022398921412325,16.936315299360913,0.6639444426005358,"hypothetical protein, conserved"
16,Tb05.5K5.70:mRNA-p1;Tb927.5.4420:mRNA-p1,0.10742310779748365,20.82987803886023,0.19440591304153726,"nucleolar RNA helicase II, putative"
17,Tb05.5K5.80:mRNA-p1;Tb927.5.4430:mRNA-p1,0.11782172527855295,17.137212831701056,0.0455549334521988,"calcium/calmodulin-dependent protein kinase, putative"
18,Tb05.5K5.90:mRNA-p1;Tb927.5.4440:mRNA-p1,-0.025550480344477933,17.080564621771593,0.007327259933305474,"dynein light chain, putative"
20,Tb06.3A7.960:mRNA-p1,0.5018530368339924,18.424775255731568,1.7080170701454218,hypothetical protein
21,Tb07.11L3.100:mRNA-p1;Tb927.7.2150:mRNA-p1,-0.13364897864873093,15.174450074647103,0.07918944568135915,SUMO-interacting motif-containing protein
22,Tb07.11L3.90:mRNA-p1;Tb927.7.2140:mRNA-p1,-0.05796243555507985,17.541803479039217,0.16539911718023634,"zinc finger protein family member, putative"
23,Tb08.27P2.110:mRNA-p1;Tb927.8.480:mRNA-p1,1.0266918539419514,16.660246173503513,0.9708070530300641,"phosphatidic acid phosphatase protein, putative"
26,Tb09.v4.0013:mRNA-p1,-0.08378785770567632,19.633459502464582,0.010267286785730814,"retrotransposon hot spot (RHS) protein, putative"
27,Tb09.v4.0014:mRNA-p1;Tb09.v4.0110:mRNA-p1;Tb927.9.15850:mRNA-p1,0.21041344966874576,15.957062567334448,0.2789021784165603,hypothetical protein
28,Tb09.v4.0015:mRNA-p1,-0.5722603735649834,15.294611338820026,0.6468574323947838,hypothetical protein
29,Tb09.v4.0016:mRNA-p1;Tb11.v5.0463.1-p1,-0.13100736398707724,17.29579641415816,0.14094740432399774,"expression site-associated gene (ESAG) protein, putative"
34,Tb09.v4.0119:pseudogenic_transcript-p1,-1.6553683898875633,12.072042746628053,1.4414485487662874,"variant surface glycoprotein (VSG, pseudogene), putative"
35,Tb09.v4.0150:pseudogenic_transcript-p1,-0.195394288060875,15.971772156899648,0.21938277229449793,"variant surface glycoprotein (VSG, pseudogene), putative"
36,Tb09.v4.0160:pseudogenic_transcript-p1,-0.4896736961968209,16.770654156271863,0.19029092199347689,"expression site-associated gene 3 (ESAG3, pseudogene), putative"
38,Tb10.v4.0033:mRNA-p1;Tb927.10.4430:mRNA-p1,0.1774724919527877,16.64523524131727,0.4329744759374141,pumillo RNA binding protein PUF1
39,Tb10.v4.0034:mRNA-p1;Tb927.10.4440:mRNA-p1,-0.031384239600921404,15.983437597604594,0.04635116285553945,predicted SAP domain protein
40,Tb10.v4.0035:mRNA-p1;Tb927.10.4450:mRNA-p1,0.12440469967788914,19.995875071396974,0.31195321269768506,"stress-inducible protein STI1-like, putative"
41,Tb10.v4.0036:mRNA-p1;Tb927.10.4460:mRNA-p1,-0.06579920725105026,17.78925782401397,0.07406077216661515,"leucine carboxyl methyltransferase, putative"
42,Tb10.v4.0037:mRNA-p1;Tb927.10.4470:mRNA-p1,0.008667841391226005,17.146423135243865,0.013244768633778043,"hypothetical protein, conserved"
44,Tb10.v4.0039:mRNA-p1;Tb927.10.4490:mRNA-p1,-0.17882739083995958,17.58564863795424,0.1798353158209297,"hypothetical protein, conserved"
45,Tb10.v4.0040:mRNA-p1;Tb927.10.4500:mRNA-p1,-0.3479189529243385,17.592971110845696,0.429705501901962,cap guanine-N7 methyltransferase
46,Tb10.v4.0041:mRNA-p1,-0.06079708186751276,18.318067978428232,0.07821859555929057,"PUB domain containing protein, putative"
47,Tb10.v4.0043:mRNA-p1;Tb11.v5.1012.1-p1;Tb927.10.4330:mRNA-p1,-0.10763051566745041,15.776911954636105,0.10833095535606894,"2-oxoisovalerate dehydrogenase beta subunit, mitochondrial precursor, putative"
48,Tb10.v4.0044:mRNA-p1;Tb927.10.4320:mRNA-p1,-0.1942835674623371,15.307643035852777,0.8354951239204015,"hypothetical protein, conserved"
49,Tb10.v4.0045:mRNA-p1;Tb927.10.4310:mRNA-p1,0.04104052769381639,18.669499211954477,0.049337192979387136,"prohibitin 2, putative"
